Category,Name,Link,Attempt Number,Time Spent
Heap / Priority Queue,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,0,0
Backtracking,Subsets,https://leetcode.com/problems/subsets/,0,0
Backtracking,Combination Sum,https://leetcode.com/problems/combination-sum/,0,0
Backtracking,Permutations,https://leetcode.com/problems/permutations/,0,0
Backtracking,Subsets II,https://leetcode.com/problems/subsets-ii/,0,0
Backtracking,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,0,0
Backtracking,Word Search,https://leetcode.com/problems/word-search/,0,0
Backtracking,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,0,0
Backtracking,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,0,0
Backtracking,N-Queens,https://leetcode.com/problems/n-queens/,0,0
Graphs,Number of Islands,https://leetcode.com/problems/number-of-islands/,0,0
Graphs,Clone Graph,https://leetcode.com/problems/clone-graph/,0,0
Graphs,Max Area of Island,https://leetcode.com/problems/max-area-of-island/,0,0
Graphs,Pacific Atlantic Waterflow,https://leetcode.com/problems/pacific-atlantic-water-flow/,0,0
Graphs,Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,0,0
Graphs,Rotting Oranges,https://leetcode.com/problems/rotting-oranges/,0,0
Graphs,Walls and Gates,https://leetcode.com/problems/walls-and-gates/,0,0
Graphs,Course Schedule,https://leetcode.com/problems/course-schedule/,0,0
Graphs,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,1,18
Graphs,Redundant Connection,https://leetcode.com/problems/redundant-connection/,0,0
Graphs,Number of Connected Components in Graph,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,0,0
Graphs,Graph Valid Tree,https://leetcode.com/problems/graph-valid-tree/,0,0
Graphs,Word Ladder,https://leetcode.com/problems/word-ladder/,0,0
Advanced Graphs,Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary/,0,0
Advanced Graphs,Min Cost to Connect all Points,https://leetcode.com/problems/min-cost-to-connect-all-points/,0,0
Advanced Graphs,Network Delay Time,https://leetcode.com/problems/network-delay-time/,0,0
